,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,sex,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex-age
25,A11,6,A34,A40,609,A61,A74,4,female,A101,3,A122,adult,A143,A152,2,A173,1,A191,A202,1,female-adult
26,A14,36,A32,A43,2394,A65,A73,4,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
27,A14,24,A34,A45,5507,A61,A75,3,male,A101,4,A124,adult,A143,A153,2,A173,1,A191,A201,1,male-adult
28,A12,18,A32,A41,2779,A61,A73,1,male,A101,3,A123,youth,A143,A151,1,A173,1,A192,A201,1,male-youth
29,A11,24,A32,A43,1938,A61,A72,4,male,A101,3,A122,adult,A143,A152,1,A173,1,A191,A201,2,male-adult
30,A12,48,A33,A49,6681,A65,A73,4,male,A101,4,A124,adult,A143,A153,1,A173,2,A192,A201,1,male-adult
31,A14,48,A34,A41,8858,A65,A74,2,male,A101,1,A124,adult,A143,A153,2,A173,1,A192,A201,1,male-adult
32,A14,12,A32,A40,2859,A65,A71,4,male,A101,4,A124,adult,A143,A152,1,A174,1,A192,A201,1,male-adult
33,A11,18,A32,A43,3509,A61,A74,4,female,A103,1,A121,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
34,A11,24,A32,A40,1442,A61,A74,4,female,A101,4,A123,youth,A143,A151,2,A173,1,A191,A201,2,female-youth
35,A11,24,A32,A43,1282,A62,A73,4,female,A101,2,A123,adult,A143,A152,1,A172,1,A191,A201,2,female-adult
36,A14,12,A32,A42,1123,A63,A73,4,female,A101,4,A123,adult,A143,A151,1,A172,1,A191,A201,2,female-adult
37,A11,27,A32,A43,3416,A61,A73,3,male,A101,2,A123,adult,A143,A152,1,A174,1,A191,A201,1,male-adult
38,A11,24,A31,A42,6872,A61,A72,2,male,A101,1,A122,adult,A141,A152,1,A173,1,A192,A201,2,male-adult
39,A11,12,A32,A42,2577,A61,A73,2,male,A101,1,A123,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
40,A14,18,A34,A40,1530,A61,A73,3,male,A101,2,A122,adult,A141,A152,2,A173,1,A191,A201,2,male-adult
41,A12,9,A32,A40,1549,A65,A72,4,male,A101,2,A121,adult,A143,A152,1,A171,1,A191,A201,1,male-adult
42,A13,30,A34,A43,3017,A61,A75,4,male,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
43,A12,21,A34,A49,3652,A61,A74,2,male,A101,3,A122,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
44,A11,12,A30,A45,1108,A61,A74,4,male,A101,3,A121,adult,A143,A152,2,A173,1,A191,A201,2,male-adult
45,A12,18,A32,A41,12976,A61,A71,3,female,A101,4,A124,adult,A143,A153,1,A174,1,A192,A201,2,female-adult
46,A14,24,A32,A42,929,A65,A74,4,male,A101,2,A123,adult,A142,A152,1,A173,1,A192,A201,1,male-adult
47,A11,12,A32,A42,2578,A61,A71,3,female,A101,4,A124,adult,A143,A153,1,A174,1,A191,A201,1,female-adult
48,A11,9,A32,A40,1422,A61,A72,3,male,A101,2,A124,adult,A143,A153,1,A174,1,A192,A201,2,male-adult
49,A13,42,A30,A49,6289,A61,A72,2,male,A101,1,A122,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
50,A14,27,A34,A42,4526,A64,A72,4,male,A101,2,A121,adult,A142,A152,2,A172,2,A192,A201,1,male-adult
51,A12,36,A33,A40,2225,A61,A75,4,male,A101,4,A124,adult,A141,A153,2,A173,1,A192,A201,2,male-adult
52,A12,12,A34,A40,958,A61,A74,2,male,A101,3,A121,adult,A143,A152,2,A172,2,A191,A201,1,male-adult
53,A13,42,A34,A41,4796,A61,A75,4,male,A101,4,A124,adult,A143,A153,1,A173,1,A191,A201,1,male-adult
54,A12,9,A32,A40,276,A61,A73,4,male,A101,4,A121,youth,A143,A151,1,A172,1,A191,A201,1,male-youth
55,A14,12,A34,A40,1163,A63,A73,4,male,A101,4,A121,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
56,A11,24,A34,A49,1382,A62,A74,4,male,A101,1,A121,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
57,A14,10,A34,A42,2069,A65,A73,2,male,A101,1,A123,adult,A143,A152,2,A173,1,A191,A202,1,male-adult
58,A11,20,A34,A42,4272,A61,A75,1,female,A101,4,A122,youth,A143,A152,2,A173,1,A191,A201,1,female-youth
59,A11,18,A31,A43,1940,A61,A72,3,male,A102,4,A124,adult,A141,A153,1,A174,1,A192,A201,1,male-adult
60,A14,12,A32,A43,776,A61,A73,4,male,A101,2,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
61,A14,20,A34,A40,3485,A65,A72,2,male,A101,4,A121,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
62,A14,15,A32,A41,4657,A61,A73,3,male,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
63,A11,24,A32,A43,3660,A61,A73,2,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
64,A14,9,A32,A42,1980,A61,A72,2,female,A102,2,A123,youth,A143,A151,2,A173,1,A191,A201,2,female-youth
65,A14,12,A34,A43,1655,A61,A75,2,male,A101,4,A121,adult,A143,A152,2,A172,1,A192,A201,1,male-adult
66,A12,12,A33,A43,585,A61,A73,4,male,A102,4,A121,youth,A143,A151,2,A173,1,A191,A201,1,male-youth
67,A12,12,A32,A40,1007,A64,A73,4,male,A101,1,A121,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
68,A14,12,A32,A42,1768,A61,A73,3,male,A101,2,A121,youth,A143,A151,1,A172,1,A191,A201,1,male-youth
69,A13,36,A32,A43,5848,A61,A73,4,male,A101,1,A123,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
70,A13,12,A32,A42,2251,A61,A73,1,female,A101,2,A123,adult,A143,A152,1,A172,1,A191,A201,1,female-adult
71,A11,48,A30,A41,4605,A61,A75,3,male,A101,4,A124,youth,A143,A153,2,A173,2,A191,A201,2,male-youth
72,A14,9,A34,A40,2134,A61,A73,4,male,A101,4,A123,adult,A143,A152,3,A173,1,A192,A201,1,male-adult
73,A13,12,A31,A43,409,A64,A73,3,female,A101,3,A121,adult,A143,A151,2,A173,1,A191,A201,1,female-adult
74,A14,9,A32,A40,2507,A63,A75,2,male,A101,4,A124,adult,A143,A153,1,A172,1,A191,A201,1,male-adult
75,A14,12,A34,A42,1258,A61,A72,2,female,A101,4,A122,youth,A143,A151,2,A172,1,A191,A201,1,female-youth
76,A14,24,A34,A49,4526,A61,A73,3,male,A101,2,A121,adult,A143,A152,1,A174,1,A192,A201,1,male-adult
77,A12,36,A32,A46,2273,A61,A74,3,male,A101,1,A123,adult,A143,A152,2,A173,2,A191,A201,1,male-adult
78,A11,24,A34,A41,6615,A61,A71,2,male,A101,4,A124,adult,A143,A153,2,A174,1,A192,A201,1,male-adult
79,A13,12,A32,A42,1424,A65,A75,3,female,A101,4,A121,adult,A143,A152,1,A174,1,A192,A201,1,female-adult
80,A11,24,A33,A43,1659,A61,A72,4,female,A101,2,A123,adult,A143,A151,1,A172,1,A192,A201,2,female-adult
81,A13,21,A32,A40,2923,A62,A73,1,female,A101,1,A123,adult,A141,A152,1,A174,1,A192,A201,1,female-adult
82,A11,30,A30,A42,4583,A61,A73,2,male,A103,2,A121,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
83,A11,6,A34,A43,338,A63,A75,4,male,A101,4,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
84,A14,24,A32,A40,1249,A61,A72,4,male,A101,2,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
85,A14,6,A34,A40,250,A64,A73,2,female,A101,2,A121,adult,A141,A152,2,A172,1,A191,A201,1,female-adult
86,A12,21,A34,A42,2745,A64,A74,3,male,A101,2,A123,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
87,A14,36,A33,A49,9572,A61,A72,1,male,A101,1,A123,adult,A143,A152,2,A173,1,A191,A201,2,male-adult
88,A11,12,A34,A42,2246,A61,A75,3,male,A101,3,A122,adult,A143,A152,2,A173,1,A191,A201,2,male-adult
89,A14,6,A32,A42,4611,A61,A72,1,female,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,2,female-adult
90,A12,36,A33,A40,2862,A62,A75,4,male,A101,3,A124,adult,A143,A153,1,A173,1,A191,A201,1,male-adult
91,A14,18,A34,A41,3850,A61,A74,3,male,A101,1,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
92,A12,13,A34,A43,882,A61,A72,4,male,A103,4,A121,youth,A143,A152,2,A173,1,A191,A201,1,male-youth
93,A14,18,A32,A49,1950,A61,A74,4,male,A101,1,A123,adult,A142,A152,2,A173,1,A192,A201,1,male-adult
94,A11,36,A32,A42,3620,A61,A73,1,male,A103,2,A122,adult,A143,A152,1,A173,2,A191,A201,1,male-adult
95,A12,24,A32,A40,1201,A61,A72,4,male,A101,1,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
96,A14,60,A34,A40,13756,A65,A75,2,male,A101,4,A124,adult,A141,A153,1,A174,1,A192,A201,1,male-adult
97,A14,10,A32,A46,727,A63,A75,4,male,A101,4,A124,adult,A143,A153,1,A173,1,A192,A201,1,male-adult
98,A14,27,A32,A45,5190,A65,A75,4,male,A101,4,A122,adult,A143,A152,4,A173,2,A192,A201,1,male-adult
99,A11,24,A32,A40,3123,A61,A72,4,female,A101,1,A122,adult,A143,A152,1,A173,1,A191,A201,2,female-adult
100,A14,24,A34,A43,2872,A62,A75,3,male,A101,4,A121,adult,A143,A152,1,A173,2,A192,A201,1,male-adult
101,A13,12,A32,A43,3016,A61,A73,3,male,A101,1,A123,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
102,A14,30,A34,A43,5771,A61,A74,4,female,A101,2,A123,adult,A143,A152,2,A173,1,A191,A201,1,female-adult
103,A14,18,A33,A42,1808,A61,A74,4,female,A101,1,A121,youth,A143,A152,1,A173,1,A191,A201,2,female-youth
104,A11,36,A34,A42,6229,A61,A72,4,female,A102,4,A124,youth,A143,A151,2,A172,1,A192,A201,2,female-youth
105,A11,12,A32,A40,1228,A61,A73,4,female,A101,2,A121,youth,A143,A152,1,A172,1,A191,A201,2,female-youth
106,A14,54,A30,A41,9436,A65,A73,2,male,A101,2,A122,adult,A143,A152,1,A172,2,A191,A201,1,male-adult
107,A14,21,A33,A49,2580,A63,A72,4,male,A101,2,A121,adult,A141,A152,1,A172,2,A191,A201,2,male-adult
108,A14,21,A32,A43,3160,A65,A75,4,male,A101,3,A122,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
109,A12,9,A34,A46,1501,A61,A75,2,female,A101,3,A123,adult,A143,A152,2,A174,1,A192,A201,2,female-adult
110,A12,12,A32,A45,639,A61,A73,4,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,2,male-adult
111,A14,24,A32,A43,3621,A62,A75,2,male,A101,4,A123,adult,A143,A152,2,A173,1,A191,A201,2,male-adult
112,A14,9,A32,A46,3832,A65,A75,1,male,A101,4,A121,adult,A143,A152,1,A172,1,A191,A201,1,male-adult
113,A14,48,A33,A43,7238,A65,A75,3,male,A101,3,A123,adult,A141,A152,2,A173,2,A191,A201,1,male-adult
114,A14,24,A32,A43,1533,A61,A72,4,female,A101,3,A123,adult,A142,A152,1,A173,1,A192,A201,1,female-adult
115,A13,10,A32,A44,1225,A61,A73,2,male,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
116,A12,15,A34,A49,2326,A63,A73,2,male,A101,4,A123,adult,A141,A152,1,A173,1,A191,A201,1,male-adult
117,A14,12,A33,A45,1555,A64,A75,4,male,A101,4,A124,adult,A143,A153,2,A173,2,A191,A201,2,male-adult
118,A12,48,A30,A49,14421,A61,A73,2,male,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,2,male-adult
119,A14,12,A34,A43,1240,A65,A75,4,female,A101,2,A121,adult,A143,A152,2,A173,1,A192,A201,1,female-adult
120,A12,30,A34,A42,8386,A61,A74,2,male,A101,2,A122,adult,A143,A152,1,A173,1,A191,A201,2,male-adult
121,A14,9,A32,A43,1478,A61,A74,4,male,A101,2,A123,youth,A143,A152,1,A173,1,A191,A201,2,male-youth
122,A14,36,A32,A49,5742,A62,A74,2,male,A101,2,A123,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
123,A11,18,A32,A42,2659,A64,A73,4,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
124,A14,36,A32,A43,3835,A65,A75,2,female,A101,4,A121,adult,A143,A152,1,A172,1,A192,A201,1,female-adult
125,A14,12,A34,A43,618,A61,A75,4,male,A101,4,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
