,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,sex,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex-age
40,A14,12,A32,A42,1768,A61,A73,3,male,A101,2,A121,youth,A143,A151,1,A172,1,A191,A201,1,male-youth
41,A14,24,A32,A40,2255,A65,A72,4,male,A101,1,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
42,A11,24,A32,A410,1755,A61,A75,4,female,A103,4,A121,adult,A143,A152,1,A172,1,A192,A201,1,female-adult
43,A11,12,A32,A42,708,A61,A73,2,male,A103,3,A122,adult,A143,A152,1,A172,2,A191,A201,1,male-adult
44,A14,21,A32,A49,1572,A64,A75,4,female,A101,4,A121,adult,A141,A152,1,A172,1,A191,A201,1,female-adult
45,A12,6,A32,A43,590,A61,A72,3,male,A101,3,A121,adult,A143,A152,1,A172,1,A191,A202,1,male-adult
46,A14,24,A32,A41,6313,A65,A75,3,male,A101,4,A123,adult,A143,A152,1,A174,2,A192,A201,1,male-adult
47,A12,9,A32,A42,959,A61,A73,1,female,A101,2,A123,adult,A143,A152,1,A173,1,A191,A202,2,female-adult
48,A14,24,A32,A43,999,A65,A75,4,male,A101,2,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
49,A12,20,A32,A41,6468,A65,A71,1,male,A101,4,A121,adult,A143,A152,1,A174,1,A192,A201,1,male-adult
50,A14,36,A34,A43,9566,A61,A73,2,female,A101,2,A123,adult,A142,A152,2,A173,1,A191,A201,1,female-adult
51,A14,24,A34,A46,1597,A61,A75,4,male,A101,4,A124,adult,A143,A153,2,A173,2,A191,A201,1,male-adult
52,A11,36,A32,A42,3959,A61,A71,4,male,A101,3,A122,adult,A143,A152,1,A174,1,A192,A201,1,male-adult
53,A14,6,A32,A42,4611,A61,A72,1,female,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,2,female-adult
54,A11,15,A32,A40,1721,A61,A72,2,male,A101,3,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
55,A12,18,A32,A43,3213,A63,A72,1,male,A101,3,A121,adult,A143,A151,1,A173,1,A191,A201,1,male-adult
56,A12,24,A32,A43,3758,A63,A71,1,female,A101,4,A124,youth,A143,A151,1,A171,1,A191,A201,1,female-youth
57,A11,36,A34,A42,2348,A61,A73,3,male,A101,2,A122,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
58,A14,12,A34,A45,996,A65,A74,4,female,A101,4,A121,youth,A143,A152,2,A173,1,A191,A201,1,female-youth
59,A14,18,A32,A42,3422,A61,A75,4,male,A101,4,A122,adult,A141,A152,3,A173,2,A192,A201,1,male-adult
60,A13,6,A34,A40,1323,A62,A75,2,male,A101,4,A123,adult,A143,A152,2,A173,2,A192,A201,1,male-adult
61,A14,12,A34,A43,1240,A65,A75,4,female,A101,2,A121,adult,A143,A152,2,A173,1,A192,A201,1,female-adult
62,A11,24,A31,A49,3161,A61,A73,4,male,A101,2,A122,adult,A143,A151,1,A173,1,A192,A201,2,male-adult
63,A12,39,A33,A46,11760,A62,A74,2,male,A101,3,A124,adult,A143,A151,1,A173,1,A192,A201,1,male-adult
64,A14,15,A34,A43,1316,A63,A73,2,male,A101,2,A122,adult,A143,A152,2,A172,1,A191,A201,1,male-adult
65,A11,15,A34,A42,1478,A61,A75,4,male,A101,4,A123,adult,A143,A152,2,A173,2,A192,A201,1,male-adult
66,A11,18,A32,A44,1217,A61,A73,4,male,A101,3,A121,adult,A143,A152,1,A172,1,A192,A201,2,male-adult
67,A14,18,A34,A43,1582,A64,A75,4,male,A101,4,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
68,A14,24,A34,A43,2872,A62,A75,3,male,A101,4,A121,adult,A143,A152,1,A173,2,A192,A201,1,male-adult
69,A12,18,A34,A42,3612,A61,A75,3,female,A101,4,A122,adult,A143,A152,1,A173,1,A192,A201,1,female-adult
70,A11,30,A32,A42,2406,A61,A74,4,female,A101,4,A121,youth,A143,A151,1,A173,1,A191,A201,2,female-youth
71,A12,6,A32,A43,484,A61,A74,3,male,A103,3,A121,adult,A141,A152,1,A172,1,A191,A201,1,male-adult
72,A12,60,A33,A43,7418,A65,A73,1,male,A101,1,A121,adult,A143,A152,1,A172,1,A191,A201,1,male-adult
73,A11,12,A32,A43,1498,A61,A73,4,female,A101,1,A123,youth,A141,A152,1,A173,1,A191,A201,1,female-youth
74,A14,18,A34,A40,1028,A61,A73,4,female,A101,3,A121,adult,A143,A152,2,A173,1,A191,A201,1,female-adult
75,A11,12,A31,A43,626,A61,A73,4,female,A101,4,A121,youth,A141,A152,1,A172,1,A191,A201,2,female-youth
76,A14,9,A32,A42,1980,A61,A72,2,female,A102,2,A123,youth,A143,A151,2,A173,1,A191,A201,2,female-youth
77,A12,11,A33,A43,4771,A61,A74,2,male,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
78,A14,24,A33,A40,2538,A61,A75,4,male,A101,4,A123,adult,A143,A152,2,A172,2,A191,A201,2,male-adult
79,A11,6,A34,A40,609,A61,A74,4,female,A101,3,A122,adult,A143,A152,2,A173,1,A191,A202,1,female-adult
80,A14,24,A33,A49,8648,A61,A72,2,male,A101,2,A123,adult,A141,A152,2,A173,1,A192,A201,2,male-adult
81,A11,24,A30,A42,4110,A61,A75,3,male,A101,4,A124,youth,A141,A151,2,A173,2,A191,A201,2,male-youth
82,A14,30,A33,A49,4272,A62,A73,2,male,A101,2,A122,adult,A143,A152,2,A172,1,A191,A201,1,male-adult
83,A14,18,A34,A40,1530,A61,A73,3,male,A101,2,A122,adult,A141,A152,2,A173,1,A191,A201,2,male-adult
84,A14,4,A34,A43,1544,A61,A74,2,male,A101,1,A121,adult,A143,A152,3,A172,2,A191,A201,1,male-adult
85,A13,12,A31,A49,609,A61,A72,4,female,A101,1,A121,adult,A143,A152,1,A171,1,A191,A201,2,female-adult
86,A14,36,A32,A43,2394,A65,A73,4,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
87,A12,36,A32,A43,4795,A61,A72,4,female,A101,1,A124,adult,A143,A152,1,A174,1,A192,A201,1,female-adult
88,A12,72,A32,A43,5595,A62,A73,2,male,A101,2,A123,youth,A143,A152,1,A173,1,A191,A201,2,male-youth
89,A14,6,A30,A40,1204,A62,A73,4,male,A101,1,A124,adult,A141,A151,1,A173,1,A191,A202,1,male-adult
90,A14,18,A32,A45,1943,A61,A72,4,female,A101,4,A121,youth,A143,A152,1,A173,1,A191,A201,2,female-youth
91,A12,26,A32,A41,7966,A61,A72,2,male,A101,3,A123,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
92,A14,36,A33,A43,4463,A61,A73,4,male,A101,2,A123,adult,A143,A152,2,A174,1,A192,A201,2,male-adult
93,A12,48,A32,A40,6560,A62,A74,3,male,A101,2,A122,youth,A143,A152,1,A173,1,A191,A201,2,male-youth
94,A14,12,A32,A40,2133,A65,A75,4,female,A101,4,A124,adult,A143,A153,1,A174,1,A192,A201,1,female-adult
95,A14,36,A32,A43,3595,A61,A75,4,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
96,A12,9,A32,A40,3195,A65,A73,1,female,A101,2,A121,adult,A143,A152,1,A172,1,A191,A201,1,female-adult
97,A14,24,A31,A49,1559,A61,A74,4,male,A101,4,A123,adult,A141,A152,1,A173,1,A192,A201,1,male-adult
98,A11,30,A32,A41,3857,A61,A73,4,male,A101,4,A122,adult,A143,A152,1,A174,1,A192,A201,1,male-adult
99,A11,15,A32,A40,3959,A61,A73,3,female,A101,2,A122,adult,A143,A152,1,A173,1,A192,A201,2,female-adult
100,A13,18,A32,A43,2100,A61,A73,4,male,A102,2,A121,adult,A142,A152,1,A173,1,A191,A201,2,male-adult
101,A14,10,A32,A46,727,A63,A75,4,male,A101,4,A124,adult,A143,A153,1,A173,1,A192,A201,1,male-adult
102,A11,12,A34,A40,2122,A61,A73,3,male,A101,2,A121,adult,A143,A151,2,A172,2,A191,A202,1,male-adult
103,A14,21,A32,A42,2241,A61,A75,4,male,A101,2,A121,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
104,A14,6,A32,A46,1538,A61,A72,1,female,A101,2,A124,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
105,A14,12,A34,A40,682,A62,A74,4,female,A101,3,A123,adult,A143,A152,2,A173,1,A192,A201,1,female-adult
106,A12,12,A32,A43,1534,A61,A72,1,male,A101,1,A121,youth,A143,A151,1,A173,1,A191,A201,2,male-youth
107,A11,18,A32,A42,1131,A61,A71,4,female,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,2,female-adult
108,A14,5,A32,A49,3448,A61,A74,1,male,A101,4,A121,adult,A143,A152,1,A172,1,A191,A201,1,male-adult
109,A13,10,A32,A40,1240,A62,A75,1,female,A101,4,A124,adult,A143,A153,1,A172,2,A191,A201,2,female-adult
110,A13,24,A34,A42,3617,A65,A75,4,male,A102,4,A124,youth,A143,A151,2,A173,1,A191,A201,1,male-youth
111,A12,9,A34,A46,1136,A64,A75,4,male,A101,3,A124,adult,A143,A153,2,A173,2,A191,A201,2,male-adult
112,A14,12,A34,A40,926,A61,A71,1,female,A101,2,A122,adult,A143,A152,1,A171,1,A191,A201,1,female-adult
113,A12,42,A31,A41,9283,A61,A71,1,male,A101,2,A124,adult,A141,A153,1,A174,1,A192,A201,1,male-adult
114,A11,18,A32,A42,2462,A61,A73,2,male,A101,2,A123,youth,A143,A152,1,A173,1,A191,A201,2,male-youth
115,A11,15,A34,A42,975,A61,A73,2,male,A101,3,A122,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
116,A14,24,A32,A43,1552,A61,A74,3,male,A101,1,A123,adult,A141,A152,1,A173,2,A191,A201,1,male-adult
117,A12,12,A32,A43,2930,A61,A74,2,female,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
118,A14,18,A32,A43,4594,A61,A72,3,male,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
119,A14,6,A32,A43,1346,A62,A75,2,male,A101,4,A124,adult,A141,A153,1,A173,2,A192,A201,1,male-adult
120,A12,12,A32,A43,1103,A61,A74,4,male,A103,3,A121,adult,A143,A152,2,A173,1,A191,A202,1,male-adult
121,A14,24,A32,A43,3430,A63,A75,3,male,A101,2,A123,adult,A143,A152,1,A173,2,A192,A201,1,male-adult
122,A12,15,A32,A45,2631,A62,A73,3,female,A101,2,A121,adult,A143,A152,1,A172,1,A191,A201,1,female-adult
123,A12,24,A32,A40,1201,A61,A72,4,male,A101,1,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
124,A13,4,A32,A40,1494,A65,A72,1,male,A101,2,A121,adult,A143,A152,1,A172,2,A191,A202,1,male-adult
125,A14,14,A33,A40,802,A61,A73,4,male,A101,2,A123,adult,A143,A152,2,A172,1,A191,A201,1,male-adult
126,A12,18,A34,A42,1295,A61,A72,4,female,A101,1,A122,adult,A143,A152,2,A173,1,A191,A201,1,female-adult
127,A12,20,A33,A41,7057,A65,A74,3,male,A101,4,A122,adult,A141,A151,2,A174,2,A192,A201,1,male-adult
128,A12,18,A32,A43,1113,A61,A73,4,female,A103,4,A121,adult,A143,A152,1,A172,2,A191,A201,1,female-adult
129,A12,24,A34,A46,5743,A61,A72,2,female,A101,4,A124,youth,A143,A153,2,A173,1,A192,A201,1,female-youth
130,A13,12,A34,A40,939,A63,A74,4,male,A101,2,A121,adult,A143,A152,3,A173,1,A192,A201,2,male-adult
131,A14,15,A34,A41,3368,A64,A75,3,male,A101,4,A124,youth,A143,A151,2,A173,1,A192,A201,1,male-youth
132,A14,24,A34,A41,4042,A65,A74,3,male,A101,4,A122,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
133,A14,24,A32,A42,3062,A63,A75,4,male,A101,3,A124,adult,A143,A151,1,A173,1,A192,A201,1,male-adult
134,A11,24,A32,A42,3021,A61,A73,2,male,A101,2,A121,youth,A143,A151,1,A172,1,A191,A201,1,male-youth
135,A11,20,A34,A42,4272,A61,A75,1,female,A101,4,A122,youth,A143,A152,2,A173,1,A191,A201,1,female-youth
136,A11,24,A31,A41,3632,A61,A73,1,female,A103,4,A123,youth,A141,A151,1,A173,1,A191,A202,1,female-youth
137,A12,9,A32,A40,276,A61,A73,4,male,A101,4,A121,youth,A143,A151,1,A172,1,A191,A201,1,male-youth
138,A12,36,A32,A41,9398,A61,A72,1,male,A101,4,A123,adult,A143,A151,1,A174,1,A192,A201,2,male-adult
139,A14,15,A32,A41,4657,A61,A73,3,male,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
140,A14,18,A33,A42,1808,A61,A74,4,female,A101,1,A121,youth,A143,A152,1,A173,1,A191,A201,2,female-youth
141,A13,6,A32,A42,2116,A61,A73,2,male,A101,2,A121,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
142,A14,36,A33,A49,9572,A61,A72,1,male,A101,1,A123,adult,A143,A152,2,A173,1,A191,A201,2,male-adult
143,A14,24,A34,A43,2684,A61,A73,4,male,A101,2,A121,adult,A143,A152,2,A172,1,A191,A201,1,male-adult
144,A13,10,A34,A43,1347,A65,A74,4,male,A101,2,A122,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
145,A14,48,A34,A41,8858,A65,A74,2,male,A101,1,A124,adult,A143,A153,2,A173,1,A192,A201,1,male-adult
146,A14,15,A32,A43,1386,A65,A73,4,male,A101,2,A121,adult,A143,A151,1,A173,1,A192,A201,1,male-adult
147,A14,12,A34,A46,2748,A61,A75,2,female,A101,4,A124,adult,A141,A153,3,A172,1,A191,A201,1,female-adult
148,A13,15,A32,A49,2687,A61,A74,2,male,A101,4,A122,adult,A143,A151,1,A173,1,A192,A201,1,male-adult
149,A12,12,A32,A40,1007,A64,A73,4,male,A101,1,A121,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
150,A12,12,A32,A42,3017,A61,A72,3,female,A101,1,A121,adult,A143,A151,1,A174,1,A191,A201,1,female-adult
151,A14,9,A32,A42,1313,A61,A75,1,male,A101,4,A123,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
152,A14,6,A32,A42,1766,A61,A73,1,male,A101,2,A122,youth,A143,A151,1,A173,1,A191,A201,1,male-youth
153,A12,12,A32,A40,2002,A61,A74,3,male,A101,4,A122,adult,A143,A151,1,A173,2,A192,A201,1,male-adult
154,A14,11,A34,A40,7228,A61,A73,1,male,A101,4,A122,adult,A143,A152,2,A172,1,A191,A201,1,male-adult
155,A11,24,A32,A42,4169,A61,A73,4,male,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
156,A11,12,A32,A43,1680,A63,A75,3,male,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
157,A14,60,A32,A40,6527,A65,A73,4,male,A101,4,A124,adult,A143,A153,1,A173,2,A192,A201,1,male-adult
158,A14,9,A34,A40,2134,A61,A73,4,male,A101,4,A123,adult,A143,A152,3,A173,1,A192,A201,1,male-adult
159,A13,6,A33,A43,683,A61,A72,2,female,A101,1,A122,adult,A141,A152,1,A173,1,A191,A201,1,female-adult
160,A12,12,A32,A41,2028,A65,A73,4,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
161,A14,18,A34,A40,1055,A61,A72,4,female,A101,1,A122,adult,A143,A152,2,A173,1,A191,A201,1,female-adult
162,A14,15,A31,A43,1569,A62,A75,4,male,A101,4,A123,adult,A141,A152,1,A172,2,A191,A201,1,male-adult
163,A12,18,A33,A45,6204,A61,A73,2,male,A101,4,A121,adult,A143,A152,1,A172,2,A192,A201,1,male-adult
164,A12,12,A32,A43,1331,A61,A72,2,male,A101,1,A123,youth,A142,A152,1,A173,1,A191,A201,2,male-youth
165,A14,6,A34,A43,700,A65,A75,4,male,A101,4,A124,adult,A143,A153,2,A173,1,A191,A201,1,male-adult
166,A14,12,A32,A43,2073,A62,A73,4,female,A102,2,A121,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
167,A12,24,A32,A43,3092,A62,A72,3,male,A101,2,A123,youth,A143,A151,1,A173,1,A192,A201,2,male-youth
168,A11,60,A33,A49,6836,A61,A75,3,male,A101,4,A124,adult,A143,A152,2,A173,1,A192,A201,2,male-adult
169,A14,6,A34,A40,2080,A63,A73,1,male,A101,2,A123,youth,A143,A152,1,A173,1,A191,A201,1,male-youth
170,A11,12,A33,A40,1344,A61,A73,4,male,A101,2,A121,adult,A143,A152,2,A172,2,A191,A201,1,male-adult
171,A11,24,A31,A42,3349,A63,A72,4,male,A101,4,A124,adult,A143,A153,1,A173,2,A192,A201,2,male-adult
172,A14,12,A32,A43,2141,A62,A74,3,male,A101,1,A124,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
173,A12,7,A32,A43,2329,A61,A72,1,female,A103,1,A121,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
174,A12,15,A33,A45,1512,A64,A73,3,male,A101,3,A122,adult,A142,A152,2,A173,1,A191,A201,2,male-adult
175,A14,24,A32,A43,2397,A63,A75,3,male,A101,2,A123,adult,A141,A152,2,A173,1,A192,A201,2,male-adult
176,A12,18,A32,A42,1924,A65,A72,4,female,A101,3,A121,adult,A143,A151,1,A173,1,A191,A201,2,female-adult
177,A14,24,A32,A49,4591,A64,A73,2,male,A101,3,A122,adult,A143,A152,3,A174,1,A192,A201,2,male-adult
178,A12,6,A33,A42,1050,A61,A71,4,male,A101,1,A122,adult,A142,A152,2,A174,1,A192,A201,1,male-adult
179,A12,24,A32,A42,4351,A65,A73,1,female,A101,4,A122,adult,A143,A152,1,A172,1,A192,A201,1,female-adult
180,A14,48,A32,A49,3914,A65,A73,4,male,A101,2,A121,adult,A141,A152,1,A173,1,A191,A201,2,male-adult
181,A11,12,A32,A41,3386,A61,A75,3,male,A101,4,A124,adult,A143,A153,1,A173,1,A192,A201,2,male-adult
182,A14,10,A32,A41,2901,A65,A72,1,female,A101,4,A121,adult,A143,A151,1,A173,1,A191,A201,1,female-adult
183,A14,12,A32,A40,2390,A65,A75,4,male,A101,3,A123,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
184,A14,24,A32,A42,929,A65,A74,4,male,A101,2,A123,adult,A142,A152,1,A173,1,A192,A201,1,male-adult
185,A12,18,A32,A42,3001,A61,A74,2,female,A101,4,A121,adult,A143,A151,1,A173,1,A191,A201,1,female-adult
186,A12,24,A32,A41,11560,A61,A73,1,female,A101,4,A123,youth,A143,A151,2,A174,1,A191,A201,2,female-youth
187,A14,10,A32,A42,2210,A61,A73,2,male,A101,2,A121,adult,A141,A151,1,A172,1,A191,A201,2,male-adult
188,A14,24,A34,A45,2058,A61,A73,4,male,A101,2,A121,adult,A143,A152,2,A173,1,A192,A201,1,male-adult
189,A12,24,A34,A42,4736,A61,A72,2,female,A101,4,A123,adult,A141,A152,1,A172,1,A191,A201,2,female-adult
190,A11,20,A34,A40,2235,A61,A73,4,male,A103,2,A122,adult,A141,A151,2,A173,1,A191,A202,2,male-adult
191,A12,9,A32,A43,1670,A61,A72,4,female,A101,2,A123,youth,A143,A152,1,A173,1,A192,A201,2,female-youth
192,A12,24,A32,A43,2039,A61,A72,1,male,A101,1,A122,youth,A143,A152,1,A173,1,A192,A201,2,male-youth
193,A14,9,A34,A42,2406,A61,A71,2,male,A101,3,A123,adult,A143,A152,1,A174,1,A191,A201,1,male-adult
194,A11,36,A34,A41,9629,A61,A74,4,male,A101,4,A123,youth,A143,A152,2,A173,1,A192,A201,2,male-youth
195,A11,48,A31,A49,7685,A61,A74,2,female,A103,4,A123,adult,A143,A151,1,A173,1,A191,A201,2,female-adult
196,A14,24,A34,A43,2611,A61,A75,4,male,A102,3,A121,adult,A143,A152,2,A173,1,A191,A201,1,male-adult
197,A11,9,A32,A43,1366,A61,A72,3,female,A101,4,A122,youth,A143,A151,1,A173,1,A191,A201,2,female-youth
198,A13,30,A34,A43,3017,A61,A75,4,male,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
199,A14,9,A32,A43,2697,A61,A73,1,male,A101,2,A121,adult,A143,A152,1,A173,2,A191,A201,1,male-adult
200,A14,54,A30,A41,9436,A65,A73,2,male,A101,2,A122,adult,A143,A152,1,A172,2,A191,A201,1,male-adult
201,A11,12,A32,A43,727,A62,A72,4,male,A101,3,A124,adult,A143,A152,1,A172,1,A192,A201,2,male-adult
202,A11,12,A34,A40,2171,A61,A73,4,male,A101,4,A122,adult,A141,A152,2,A172,1,A191,A202,1,male-adult
203,A14,10,A32,A40,1287,A65,A75,4,male,A102,2,A122,adult,A143,A152,1,A172,1,A191,A202,1,male-adult
204,A12,36,A32,A40,12389,A65,A73,1,male,A101,4,A124,adult,A143,A153,1,A173,1,A192,A201,2,male-adult
205,A12,15,A30,A40,1778,A61,A72,2,female,A101,1,A121,adult,A143,A151,2,A171,1,A191,A201,2,female-adult
206,A14,12,A32,A49,1542,A61,A74,2,male,A101,4,A123,adult,A143,A152,1,A173,1,A192,A201,1,male-adult
207,A14,6,A32,A43,2108,A61,A74,2,male,A101,2,A121,adult,A143,A151,1,A173,1,A191,A201,1,male-adult
208,A12,48,A30,A410,18424,A61,A73,1,female,A101,2,A122,adult,A141,A152,1,A174,1,A192,A202,2,female-adult
209,A11,18,A32,A40,1216,A61,A72,4,female,A101,3,A123,youth,A143,A151,1,A173,1,A192,A201,2,female-youth
210,A12,6,A32,A45,454,A61,A72,3,male,A101,1,A122,youth,A143,A152,1,A172,1,A191,A201,1,male-youth
211,A12,48,A30,A49,3844,A62,A74,4,male,A101,4,A124,adult,A143,A153,1,A172,2,A191,A201,2,male-adult
212,A11,6,A34,A43,1957,A61,A74,1,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1,female-adult
213,A11,36,A32,A41,8335,A65,A75,3,male,A101,4,A124,adult,A143,A153,1,A173,1,A191,A201,2,male-adult
214,A13,10,A32,A40,3949,A61,A72,1,male,A103,1,A122,adult,A143,A152,1,A172,2,A191,A201,1,male-adult
215,A12,36,A32,A46,3711,A65,A73,2,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,1,male-adult
216,A14,6,A32,A43,1595,A61,A74,3,male,A101,2,A122,adult,A143,A152,1,A173,2,A191,A201,1,male-adult
217,A14,24,A34,A43,5103,A61,A72,3,male,A101,3,A124,adult,A143,A153,3,A173,1,A192,A201,1,male-adult
218,A14,12,A34,A43,1655,A61,A75,2,male,A101,4,A121,adult,A143,A152,2,A172,1,A192,A201,1,male-adult
